Sheet count: 1
Sheet names: ['Sheet1']

=== Sheet: Sheet1 ===
  Rows: 391, Cols: 23
  Merged cells: ['P163:Q163', 'L91:M91', 'A166:A169', 'C144:C146', 'N91:O91', 'A286:I286', 'J19:K19', 'L19:M19', 'A30:A33', 'H55:I55', 'D90:Q90', 'A370:A373', 'A281:A284', 'A330:A333', 'A388:A391', 'A366:A369', 'A269:I269', 'A358:B360', 'D108:W108', 'T127:U127', 'V127:W127', 'D377:E377', 'A98:A101', 'C18:C20', 'C322:C324', 'P359:Q359', 'A76:A79', 'A90:B92', 'A376:B378', 'A8:A11', 'L109:M109', 'A126:B128', 'D36:S36', 'H37:I37', 'A361:B361', 'D127:E127', 'A22:A25', 'A308:A311', 'A143:U143', 'A102:A105', 'J305:K305', 'F341:G341', 'D73:E73', 'A111:B111', 'V109:W109', 'A228:F228', 'T145:U145', 'J163:K163', 'L145:M145', 'F359:G359', 'N145:O145', 'C36:C38', 'A39:B39', 'H91:I91', 'A334:A337', 'A94:A97', 'J73:K73', 'D19:E19', 'A304:B306', 'D305:E305', 'F19:G19', 'A362:A365', 'R19:S19', 'A36:B38', 'D359:E359', 'H341:I341', 'A174:A177', 'A12:A15', 'C376:C378', 'R359:S359', 'A379:B379', 'A162:B164', 'L163:M163', 'A316:A319', 'A120:A123', 'C54:C56', 'F109:G109', 'A272:B272', 'D126:W126', 'H109:I109', 'A298:A301', 'B180:B182', 'A129:B129', 'R109:S109', 'A161:U161', 'D37:E37', 'T109:U109', 'A307:B307', 'A380:A383', 'H19:I19', 'P377:Q377', 'C340:C342', 'P37:Q37', 'A156:A159', 'R377:S377', 'D144:U144', 'D323:E323', 'F323:G323', 'A165:B165', 'A322:B324', 'C90:C92', 'A93:B93', 'A130:A133', 'P127:Q127', 'H145:I145', 'R127:S127', 'J145:K145', 'A344:A347', 'A58:A61', 'N55:O55', 'A40:A43', 'P55:Q55', 'D54:Q54', 'F73:G73', 'L359:M359', 'A325:B325', 'C72:C74', 'A352:A355', 'C358:C360', 'A343:B343', 'D322:G322', 'A179:F179', 'A84:A87', 'F305:G305', 'A66:A69', 'A229:A231', 'D341:E341', 'C229:F229', 'H73:I73', 'N341:O341', 'A357:S357', 'P341:Q341', 'A75:B75', 'A108:B110', 'D163:E163', 'C108:C110', 'A80:A83', 'F163:G163', 'A273:A276', 'H163:I163', 'A3:B3', 'A326:A329', 'D340:Q340', 'A384:A387', 'D91:E91', 'R163:S163', 'A1:D1', 'F91:G91', 'A21:B21', 'T163:U163', 'P91:Q91', 'A57:B57', 'A26:A29', 'N19:O19', 'A134:A137', 'P19:Q19', 'J91:K91', 'A144:B146', 'B229:B231', 'A4:A7', 'A62:A65', 'A44:A47', 'C162:C164', 'D55:E55', 'A147:B147', 'A53:Q53', 'A72:B74', 'A375:S375', 'N359:O359', 'A290:A293', 'F377:G377', 'H377:I377', 'A48:A51', 'D109:E109', 'A170:A173', 'A321:G321', 'A148:A151', 'N109:O109', 'D18:S18', 'P109:Q109', 'A17:S17', 'J37:K37', 'A138:A141', 'L377:M377', 'L37:M37', 'A35:S35', 'F127:G127', 'N37:O37', 'N377:O377', 'A107:W107', 'H127:I127', 'J127:K127', 'A339:Q339', 'D358:S358', 'F55:G55', 'D72:O72', 'A180:A182', 'D162:U162', 'A340:B342', 'A54:B56', 'A71:O71', 'R37:S37', 'L127:M127', 'D145:E145', 'A270:B271', 'N127:O127', 'F145:G145', 'A277:A280', 'J55:K55', 'H359:I359', 'P145:Q145', 'L55:M55', 'C304:C306', 'R145:S145', 'A89:Q89', 'J359:K359', 'A2:B2', 'L73:M73', 'C126:C128', 'N73:O73', 'H305:I305', 'A18:B20', 'A116:A119', 'A294:A297', 'D304:K304', 'J109:K109', 'A303:K303', 'A112:A115', 'A312:A315', 'F37:G37', 'C180:F180', 'A348:A351', 'J341:K341', 'L341:M341', 'A152:A155', 'A287:B288', 'J377:K377', 'A125:W125', 'A289:B289', 'N163:O163', 'D376:S376']
  R1: ['응답자 일반현황', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R92: ['', '', '', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '', '', '', '', '', '']
  R93: ['전 체', '', '699.0', '382.0', '0.5464949928469242', '291.0', '0.41630901287553645', '189.0', '0.2703862660944206', '243.0', '0.34763948497854075', '167.0', '0.23891273247496422', '125.0', '0.17882689556509299', '1.0', '0.0014306151645207437', '', '', '', '', '', '']
  R94: ['소속 대학', '울산대학교', '341.0', '183.0', '0.5366568914956011', '131.0', '0.3841642228739003', '98.0', '0.2873900293255132', '119.0', '0.3489736070381232', '96.0', '0.28152492668621704', '54.0', '0.15835777126099707', '1.0', '0.002932551319648094', '', '', '', '', '', '']
  R95: ['', '울산과학대학교', '174.0', '107.0', '0.6149425287356322', '73.0', '0.41954022988505746', '48.0', '0.27586206896551724', '50.0', '0.28735632183908044', '41.0', '0.23563218390804597', '29.0', '0.16666666666666663', '', '', '', '', '', '', '', '']
  R96: ['', '춘해보건대학교', '107.0', '54.0', '0.5046728971962616', '49.0', '0.45794392523364486', '22.0', '0.20560747663551399', '48.0', '0.4485981308411215', '10.0', '0.09345794392523364', '31.0', '0.2897196261682243', '', '', '', '', '', '', '', '']
  R97: ['', '울산과학기술원', '77.0', '38.0', '0.4935064935064935', '38.0', '0.4935064935064935', '21.0', '0.2727272727272727', '26.0', '0.33766233766233766', '20.0', '0.2597402597402597', '11.0', '0.14285714285714285', '', '', '', '', '', '', '', '']
  R98: ['학년', '1학년', '164.0', '90.0', '0.5487804878048781', '66.0', '0.402439024390244', '46.0', '0.2804878048780488', '57.0', '0.347560975609756', '38.0', '0.23170731707317074', '31.0', '0.18902439024390244', '', '', '', '', '', '', '', '']
  R99: ['', '2학년', '236.0', '137.0', '0.5805084745762712', '104.0', '0.44067796610169485', '61.0', '0.2584745762711864', '85.0', '0.3601694915254237', '51.0', '0.21610169491525424', '34.0', '0.1440677966101695', '', '', '', '', '', '', '', '']
  R100: ['', '3학년', '213.0', '111.0', '0.5211267605633803', '79.0', '0.37089201877934275', '57.0', '0.2676056338028169', '78.0', '0.3661971830985916', '57.0', '0.2676056338028169', '43.0', '0.20187793427230047', '1.0', '0.004694835680751174', '', '', '', '', '', '']
  R101: ['', '4학년 이상', '86.0', '44.0', '0.5116279069767442', '42.0', '0.48837209302325574', '25.0', '0.29069767441860467', '23.0', '0.26744186046511625', '21.0', '0.24418604651162787', '17.0', '0.19767441860465115', '', '', '', '', '', '', '', '']
  R102: ['전공', '인문사회계열', '144.0', '94.0', '0.6527777777777779', '43.0', '0.2986111111111111', '49.0', '0.3402777777777778', '48.0', '0.33333333333333326', '41.0', '0.2847222222222222', '13.0', '0.09027777777777776', '', '', '', '', '', '', '', '']
  R103: ['', '자연과학계열', '239.0', '126.0', '0.5271966527196653', '111.0', '0.4644351464435147', '48.0', '0.200836820083682', '91.0', '0.3807531380753138', '44.0', '0.18410041841004182', '58.0', '0.24267782426778242', '', '', '', '', '', '', '', '']
  R104: ['', '공학계열', '286.0', '143.0', '0.5', '122.0', '0.4265734265734265', '86.0', '0.3006993006993007', '95.0', '0.3321678321678322', '73.0', '0.25524475524475526', '52.0', '0.18181818181818182', '1.0', '0.0034965034965034965', '', '', '', '', '', '']
  R105: ['', '예체능계열', '30.0', '19.0', '0.6333333333333333', '15.0', '0.5', '6.0', '0.2', '9.0', '0.3', '9.0', '0.3', '2.0', '0.06666666666666667', '', '', '', '', '', '', '', '']
  R106: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R107: ['취업 준비 중 본인에게 부족함을 느끼는 역량(1순위)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R108: ['', '', '구 분', '취업 준비 중 본인에게 부족함을 느끼는 역량(1순위)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R109: ['', '', '', '전공 지식', '', '외국어 능력', '', '컴퓨터 활용 능력', '', '의사소통 능력', '', '문제해결 능력', '', '대인관계 능력', '', '창의력/기획력', '', '리더십', '', '특별히 없음', '', '기타', '']
  R110: ['', '', '', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율']
  R111: ['전 체', '', '1000.0', '363.0', '0.363', '240.0', '0.24', '92.0', '0.092', '47.0', '0.047', '63.0', '0.063', '19.0', '0.019', '58.0', '0.05800000000000001', '26.0', '0.026000000000000002', '86.0', '0.086', '6.0', '0.006']
  R112: ['소속 대학', '울산대학교', '521.0', '181.0', '0.3474088291746641', '123.0', '0.236084452975048', '57.0', '0.109404990403071', '20.0', '0.03838771593090211', '28.0', '0.053742802303262956', '3.0', '0.005758157389635317', '38.0', '0.07293666026871401', '13.0', '0.02495201535508637', '52.0', '0.09980806142034548', '6.0', '0.011516314779270634']
  R113: ['', '울산과학대학교', '256.0', '108.0', '0.421875', '47.0', '0.18359375', '20.0', '0.078125', '14.0', '0.0546875', '16.0', '0.0625', '10.0', '0.0390625', '12.0', '0.046875', '8.0', '0.03125', '21.0', '0.08203125', '', '']
  R114: ['', '춘해보건대학교', '130.0', '35.0', '0.2692307692307692', '62.0', '0.47692307692307695', '9.0', '0.06923076923076923', '6.0', '0.046153846153846156', '4.0', '0.03076923076923077', '2.0', '0.015384615384615385', '4.0', '0.03076923076923077', '4.0', '0.03076923076923077', '4.0', '0.03076923076923077', '', '']
  R115: ['', '울산과학기술원', '93.0', '39.0', '0.41935483870967744', '8.0', '0.08602150537634409', '6.0', '0.06451612903225806', '7.0', '0.07526881720430108', '15.0', '0.16129032258064516', '4.0', '0.043010752688172046', '4.0', '0.043010752688172046', '1.0', '0.010752688172043012', '9.0', '0.0967741935483871', '', '']
  R116: ['학년', '1학년', '233.0', '93.0', '0.3991416309012876', '54.0', '0.23175965665236048', '23.0', '0.09871244635193133', '8.0', '0.034334763948497854', '17.0', '0.07296137339055794', '8.0', '0.034334763948497854', '12.0', '0.05150214592274678', '6.0', '0.02575107296137339', '12.0', '0.05150214592274678', '', '']
  R117: ['', '2학년', '320.0', '130.0', '0.40625', '69.0', '0.215625', '28.0', '0.0875', '17.0', '0.053125', '16.0', '0.05', '7.0', '0.021875', '13.0', '0.040625', '5.0', '0.015625', '34.0', '0.10625', '1.0', '0.003125']
  R118: ['', '3학년', '292.0', '104.0', '0.3561643835616438', '74.0', '0.2534246575342466', '21.0', '0.07191780821917808', '16.0', '0.0547945205479452', '20.0', '0.0684931506849315', '3.0', '0.010273972602739725', '20.0', '0.0684931506849315', '13.0', '0.04452054794520548', '19.0', '0.06506849315068493', '2.0', '0.00684931506849315']
  R119: ['', '4학년 이상', '155.0', '36.0', '0.23225806451612904', '43.0', '0.27741935483870966', '20.0', '0.12903225806451613', '6.0', '0.03870967741935484', '10.0', '0.06451612903225806', '1.0', '0.0064516129032258064', '13.0', '0.0838709677419355', '2.0', '0.012903225806451613', '21.0', '0.13548387096774195', '3.0', '0.01935483870967742']
  R120: ['전공', '인문사회계열', '192.0', '71.0', '0.36979166666666674', '34.0', '0.17708333333333337', '34.0', '0.17708333333333337', '9.0', '0.046875', '15.0', '0.078125', '4.0', '0.02083333333333333', '12.0', '0.0625', '6.0', '0.03125', '3.0', '0.015625', '4.0', '0.02083333333333333']
  R121: ['', '자연과학계열', '325.0', '101.0', '0.31076923076923074', '104.0', '0.32', '26.0', '0.08', '17.0', '0.052307692307692305', '25.0', '0.07692307692307693', '7.0', '0.021538461538461538', '19.0', '0.05846153846153846', '9.0', '0.027692307692307693', '17.0', '0.052307692307692305', '', '']
  R122: ['', '공학계열', '444.0', '175.0', '0.39414414414414417', '94.0', '0.21171171171171171', '28.0', '0.06306306306306306', '17.0', '0.038288288288288286', '23.0', '0.0518018018018018', '6.0', '0.013513513513513513', '27.0', '0.060810810810810814', '10.0', '0.022522522522522525', '62.0', '0.13963963963963963', '2.0', '0.0045045045045045045']
  R123: ['', '예체능계열', '39.0', '16.0', '0.41025641025641024', '8.0', '0.20512820512820512', '4.0', '0.10256410256410256', '4.0', '0.10256410256410256', '', '', '2.0', '0.05128205128205128', '', '', '1.0', '0.02564102564102564', '4.0', '0.10256410256410256', '', '']
  R124: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R125: ['취업 준비 중 본인에게 부족함을 느끼는 역량(1순위+2순위)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R126: ['', '', '구 분', '취업 준비 중 본인에게 부족함을 느끼는 역량(1순위+2순위)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R127: ['', '', '', '전공 지식', '', '외국어 능력', '', '컴퓨터 활용 능력', '', '의사소통 능력', '', '문제해결 능력', '', '대인관계 능력', '', '창의력/기획력', '', '리더십', '', '특별히 없음', '', '기타', '']
  R128: ['', '', '', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율']
  R129: ['전 체', '', '1000.0', '487.0', '0.48699999999999993', '428.0', '0.428', '250.0', '0.25', '131.0', '0.131', '194.0', '0.19400000000000003', '81.0', '0.081', '167.0', '0.16699999999999998', '76.0', '0.076', '86.0', '0.086', '14.0', '0.014000000000000002']
  R130: ['소속 대학', '울산대학교', '521.0', '241.0', '0.46257197696737046', '213.0', '0.4088291746641075', '139.0', '0.2667946257197697', '66.0', '0.12667946257197696', '100.0', '0.19193857965451055', '28.0', '0.053742802303262956', '100.0', '0.19193857965451055', '42.0', '0.08061420345489444', '52.0', '0.09980806142034548', '9.0', '0.01727447216890595']
  R131: ['', '울산과학대학교', '256.0', '131.0', '0.51171875', '104.0', '0.40625', '59.0', '0.23046875', '37.0', '0.14453125', '50.0', '0.1953125', '33.0', '0.12890625', '33.0', '0.12890625', '21.0', '0.08203125', '21.0', '0.08203125', '2.0', '0.0078125']
  R132: ['', '춘해보건대학교', '130.0', '54.0', '0.4153846153846154', '85.0', '0.6538461538461539', '37.0', '0.2846153846153846', '13.0', '0.1', '20.0', '0.15384615384615385', '10.0', '0.07692307692307693', '21.0', '0.16153846153846152', '9.0', '0.06923076923076923', '4.0', '0.03076923076923077', '3.0', '0.023076923076923078']
  R133: ['', '울산과학기술원', '93.0', '61.0', '0.6559139784946236', '26.0', '0.27956989247311825', '15.0', '0.16129032258064516', '15.0', '0.16129032258064516', '24.0', '0.25806451612903225', '10.0', '0.1075268817204301', '13.0', '0.13978494623655913', '4.0', '0.043010752688172046', '9.0', '0.0967741935483871', '', '']
  R134: ['학년', '1학년', '233.0', '125.0', '0.5364806866952789', '106.0', '0.45493562231759654', '65.0', '0.27896995708154504', '27.0', '0.11587982832618024', '36.0', '0.15450643776824036', '27.0', '0.11587982832618024', '38.0', '0.16309012875536483', '17.0', '0.07296137339055794', '12.0', '0.05150214592274678', '1.0', '0.004291845493562232']
  R135: ['', '2학년', '320.0', '163.0', '0.509375', '115.0', '0.359375', '76.0', '0.2375', '48.0', '0.15', '74.0', '0.23125', '30.0', '0.09375', '42.0', '0.13125', '20.0', '0.0625', '34.0', '0.10625', '4.0', '0.0125']
  R136: ['', '3학년', '292.0', '139.0', '0.476027397260274', '137.0', '0.46917808219178087', '73.0', '0.25', '38.0', '0.13013698630136986', '56.0', '0.1917808219178082', '20.0', '0.0684931506849315', '53.0', '0.1815068493150685', '28.0', '0.0958904109589041', '19.0', '0.06506849315068493', '2.0', '0.00684931506849315']
  R137: ['', '4학년 이상', '155.0', '60.0', '0.3870967741935484', '70.0', '0.4516129032258064', '36.0', '0.23225806451612904', '18.0', '0.11612903225806452', '28.0', '0.18064516129032257', '4.0', '0.025806451612903226', '34.0', '0.21935483870967742', '11.0', '0.07096774193548387', '21.0', '0.13548387096774195', '7.0', '0.04516129032258064']
  R138: ['전공', '인문사회계열', '192.0', '91.0', '0.47395833333333326', '73.0', '0.38020833333333326', '58.0', '0.3020833333333333', '34.0', '0.17708333333333337', '50.0', '0.2604166666666667', '21.0', '0.109375', '30.0', '0.15625', '17.0', '0.08854166666666669', '3.0', '0.015625', '4.0', '0.02083333333333333']
  R139: ['', '자연과학계열', '325.0', '141.0', '0.43384615384615377', '161.0', '0.4953846153846154', '82.0', '0.2523076923076923', '45.0', '0.13846153846153847', '66.0', '0.20307692307692307', '30.0', '0.09230769230769231', '61.0', '0.1876923076923077', '25.0', '0.07692307692307693', '17.0', '0.052307692307692305', '5.0', '0.015384615384615385']
  R140: ['', '공학계열', '444.0', '236.0', '0.5315315315315315', '180.0', '0.40540540540540543', '101.0', '0.22747747747747749', '41.0', '0.09234234234234234', '69.0', '0.1554054054054054', '27.0', '0.060810810810810814', '73.0', '0.16441441441441446', '33.0', '0.07432432432432433', '62.0', '0.13963963963963963', '4.0', '0.009009009009009009']
  R141: ['', '예체능계열', '39.0', '19.0', '0.48717948717948717', '14.0', '0.358974358974359', '9.0', '0.23076923076923075', '11.0', '0.28205128205128205', '9.0', '0.23076923076923075', '3.0', '0.07692307692307693', '3.0', '0.07692307692307693', '1.0', '0.02564102564102564', '4.0', '0.10256410256410256', '1.0', '0.02564102564102564']
  R142: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R143: ['취업 시 중요하게 고려하는 요소(1순위)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R144: ['', '', '구 분', '취업 시 중요하게 고려하는 요소(1순위)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R145: ['', '', '', '연봉', '', '복지', '', '근무지', '', '기업 규모', '', '기업 인지도', '', '직무 적합성', '', '고용 안정성', '', '성장 가능성', '', '기타', '', '', '']
  R146: ['', '', '', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '', '']
  R147: ['전 체', '', '1000.0', '505.0', '0.505', '117.0', '0.117', '138.0', '0.138', '39.0', '0.039', '34.0', '0.034', '72.0', '0.072', '67.0', '0.067', '24.0', '0.024', '4.0', '0.004', '', '']
  R148: ['소속 대학', '울산대학교', '521.0', '268.0', '0.5143953934740882', '34.0', '0.06525911708253358', '82.0', '0.15738963531669867', '20.0', '0.03838771593090211', '21.0', '0.04030710172744722', '41.0', '0.07869481765834933', '41.0', '0.07869481765834933', '11.0', '0.02111324376199616', '3.0', '0.005758157389635317', '', '']
  R149: ['', '울산과학대학교', '256.0', '139.0', '0.54296875', '37.0', '0.14453125', '35.0', '0.13671875', '11.0', '0.04296875', '6.0', '0.0234375', '15.0', '0.05859375', '11.0', '0.04296875', '2.0', '0.0078125', '', '', '', '']
  R150: ['', '춘해보건대학교', '130.0', '60.0', '0.4615384615384615', '17.0', '0.13076923076923078', '16.0', '0.12307692307692308', '3.0', '0.023076923076923078', '3.0', '0.023076923076923078', '7.0', '0.05384615384615385', '14.0', '0.1076923076923077', '9.0', '0.06923076923076923', '1.0', '0.007692307692307693', '', '']
  R151: ['', '울산과학기술원', '93.0', '38.0', '0.4086021505376344', '29.0', '0.3118279569892473', '5.0', '0.05376344086021505', '5.0', '0.05376344086021505', '4.0', '0.043010752688172046', '9.0', '0.0967741935483871', '1.0', '0.010752688172043012', '2.0', '0.021505376344086023', '', '', '', '']
  R152: ['학년', '1학년', '233.0', '112.0', '0.48068669527896996', '36.0', '0.15450643776824036', '27.0', '0.11587982832618024', '6.0', '0.02575107296137339', '13.0', '0.05579399141630901', '16.0', '0.06866952789699571', '16.0', '0.06866952789699571', '6.0', '0.02575107296137339', '1.0', '0.004291845493562232', '', '']
  R153: ['', '2학년', '320.0', '160.0', '0.5', '37.0', '0.115625', '60.0', '0.1875', '12.0', '0.0375', '12.0', '0.0375', '19.0', '0.059375', '12.0', '0.0375', '7.0', '0.021875', '1.0', '0.003125', '', '']
  R154: ['', '3학년', '292.0', '155.0', '0.5308219178082192', '32.0', '0.1095890410958904', '29.0', '0.0993150684931507', '12.0', '0.0410958904109589', '6.0', '0.02054794520547945', '24.0', '0.0821917808219178', '29.0', '0.0993150684931507', '4.0', '0.0136986301369863', '1.0', '0.003424657534246575', '', '']
  R155: ['', '4학년 이상', '155.0', '78.0', '0.5032258064516129', '12.0', '0.07741935483870968', '22.0', '0.14193548387096774', '9.0', '0.05806451612903226', '3.0', '0.01935483870967742', '13.0', '0.0838709677419355', '10.0', '0.06451612903225806', '7.0', '0.04516129032258064', '1.0', '0.0064516129032258064', '', '']
  R156: ['전공', '인문사회계열', '192.0', '86.0', '0.44791666666666674', '17.0', '0.08854166666666669', '41.0', '0.21354166666666663', '6.0', '0.03125', '5.0', '0.02604166666666667', '17.0', '0.08854166666666669', '17.0', '0.08854166666666669', '3.0', '0.015625', '', '', '', '']
  R157: ['', '자연과학계열', '325.0', '169.0', '0.52', '38.0', '0.11692307692307692', '36.0', '0.11076923076923077', '9.0', '0.027692307692307693', '13.0', '0.04', '18.0', '0.055384615384615386', '26.0', '0.08', '12.0', '0.036923076923076927', '4.0', '0.012307692307692308', '', '']
  R158: ['', '공학계열', '444.0', '236.0', '0.5315315315315315', '51.0', '0.11486486486486487', '58.0', '0.13063063063063063', '23.0', '0.0518018018018018', '15.0', '0.033783783783783786', '35.0', '0.07882882882882883', '19.0', '0.04279279279279279', '7.0', '0.015765765765765764', '', '', '', '']
  R159: ['', '예체능계열', '39.0', '14.0', '0.358974358974359', '11.0', '0.28205128205128205', '3.0', '0.07692307692307693', '1.0', '0.02564102564102564', '1.0', '0.02564102564102564', '2.0', '0.05128205128205128', '5.0', '0.1282051282051282', '2.0', '0.05128205128205128', '', '', '', '']
  R160: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R161: ['취업 시 중요하게 고려하는 요소(1순위+2순위)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R162: ['', '', '구 분', '취업 시 중요하게 고려하는 요소(1순위+2순위)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R163: ['', '', '', '연봉', '', '복지', '', '근무지', '', '기업 규모', '', '기업 인지도', '', '직무 적합성', '', '고용 안정성', '', '성장 가능성', '', '기타', '', '', '']
  R164: ['', '', '', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '', '']
  R165: ['전 체', '', '1000.0', '697.0', '0.6969999999999998', '412.0', '0.412', '313.0', '0.313', '95.0', '0.095', '86.0', '0.086', '168.0', '0.168', '147.0', '0.147', '78.0', '0.078', '4.0', '0.004', '', '']
  R166: ['소속 대학', '울산대학교', '521.0', '358.0', '0.6871401151631477', '150.0', '0.28790786948176583', '190.0', '0.36468330134357013', '63.0', '0.12092130518234163', '57.0', '0.109404990403071', '94.0', '0.18042226487523993', '86.0', '0.1650671785028791', '41.0', '0.07869481765834933', '3.0', '0.005758157389635317', '', '']
  R167: ['', '울산과학대학교', '256.0', '190.0', '0.7421875', '130.0', '0.5078125', '76.0', '0.296875', '18.0', '0.0703125', '17.0', '0.06640625', '38.0', '0.1484375', '31.0', '0.12109375', '12.0', '0.046875', '', '', '', '']
  R168: ['', '춘해보건대학교', '130.0', '90.0', '0.6923076923076923', '61.0', '0.4692307692307692', '38.0', '0.2923076923076923', '6.0', '0.046153846153846156', '4.0', '0.03076923076923077', '19.0', '0.14615384615384616', '23.0', '0.17692307692307693', '18.0', '0.13846153846153847', '1.0', '0.007692307692307693', '', '']
  R169: ['', '울산과학기술원', '93.0', '59.0', '0.6344086021505376', '71.0', '0.7634408602150538', '9.0', '0.0967741935483871', '8.0', '0.08602150537634409', '8.0', '0.08602150537634409', '17.0', '0.1827956989247312', '7.0', '0.07526881720430108', '7.0', '0.07526881720430108', '', '', '', '']
  R170: ['학년', '1학년', '233.0', '155.0', '0.6652360515021459', '123.0', '0.5278969957081545', '52.0', '0.22317596566523604', '15.0', '0.06437768240343347', '22.0', '0.0944206008583691', '40.0', '0.17167381974248927', '36.0', '0.15450643776824036', '22.0', '0.0944206008583691', '1.0', '0.004291845493562232', '', '']
  R171: ['', '2학년', '320.0', '220.0', '0.6875', '108.0', '0.3375', '128.0', '0.4', '25.0', '0.078125', '36.0', '0.1125', '59.0', '0.184375', '37.0', '0.115625', '26.0', '0.08125', '1.0', '0.003125', '', '']
  R172: ['', '3학년', '292.0', '207.0', '0.7089041095890409', '130.0', '0.4452054794520548', '73.0', '0.25', '34.0', '0.11643835616438356', '17.0', '0.05821917808219178', '51.0', '0.17465753424657535', '56.0', '0.1917808219178082', '15.0', '0.05136986301369863', '1.0', '0.003424657534246575', '', '']
  R173: ['', '4학년 이상', '155.0', '115.0', '0.7419354838709676', '51.0', '0.32903225806451614', '60.0', '0.3870967741935484', '21.0', '0.13548387096774195', '11.0', '0.07096774193548387', '18.0', '0.11612903225806452', '18.0', '0.11612903225806452', '15.0', '0.0967741935483871', '1.0', '0.0064516129032258064', '', '']
  R174: ['전공', '인문사회계열', '192.0', '118.0', '0.6145833333333334', '63.0', '0.328125', '74.0', '0.38541666666666674', '16.0', '0.08333333333333331', '19.0', '0.09895833333333331', '45.0', '0.234375', '36.0', '0.1875', '13.0', '0.06770833333333333', '', '', '', '']
  R175: ['', '자연과학계열', '325.0', '228.0', '0.7015384615384616', '163.0', '0.5015384615384615', '81.0', '0.24923076923076923', '22.0', '0.06769230769230769', '19.0', '0.05846153846153846', '58.0', '0.17846153846153848', '49.0', '0.15076923076923077', '26.0', '0.08', '4.0', '0.012307692307692308', '', '']
  R176: ['', '공학계열', '444.0', '322.0', '0.7252252252252253', '169.0', '0.38063063063063063', '153.0', '0.34459459459459457', '55.0', '0.12387387387387387', '46.0', '0.1036036036036036', '59.0', '0.13288288288288289', '50.0', '0.11261261261261261', '34.0', '0.07657657657657657', '', '', '', '']
  R177: ['', '예체능계열', '39.0', '29.0', '0.7435897435897436', '17.0', '0.4358974358974359', '5.0', '0.1282051282051282', '2.0', '0.05128205128205128', '2.0', '0.05128205128205128', '6.0', '0.15384615384615385', '12.0', '0.3076923076923077', '5.0', '0.1282051282051282', '', '', '', '']
  R178: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R179: ['대학교별 취업 희망 세부 업종', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R180: ['', '응답자 수', '소속 대학', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R181: ['', '', '울산대학교', '울산과학대학교', '춘해보건대학교', '울산과학기술원', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R182: ['', '', '응답자 수', '응답자 수', '응답자 수', '응답자 수', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R183: ['전 체', '1000.0', '521.0', '256.0', '130.0', '93.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R184: ['1 농업', '4.0', '4.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R185: ['2 임업', '3.0', '3.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R186: ['3 어업', '5.0', '5.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
