원본,요약,요약 개조식,카테고리
주차장이 없어서 주차하는데 불편함을 겪었다.,"요약:
- 주차장이 없어서 주차하는데 불편함을 겪었다.",- 주차장이 없어서 불편함,주차안내
줄서기 시간이 다소 김,- 줄서기 시간이 다소 김,- 줄서기 다소 김,행사불편
줄서는 대기시간이 오래걸림. 주차장 확보 시급.,"- 줄서는 대기시간이 오래걸림.
- 주차장 확보 시급.","- 줄서는 대기시간이 오래걸림, 주차장 확보 시급.",주차안내
지속적으로,"요약:
- 지속적으로",- 지속적으로,먹거리 체험
"진흙 때문에 다니기 불편했음 (신발, 옷 등 훼손됨)","- 진흙 때문에 다니기 불편했음 (신발, 옷 등 훼손됨)",- 진흙 때문에 다니기 불편했음,행사불편
차량 이동 관련 주차장을 더 만들어 주세요.,- 차량 이동 관련 주차장을 더 만들어 달라는 요청,"요약 개조식:
- 주차장을 더 만들어 달라는 요청",주차안내
체험 놀이를 더 보충해주세요.,"요약:
- 체험 놀이를 더 보충해 달라고 요청함.",- 체험 놀이 더 보충해 요청함,폐공장가족행사
체험 부스 다양화. 눈으로도 응원합니다 ^^,"- 체험 부스 다양화
- 눈으로도 응원합니다 ^^","- 체험 부스 다양화, 눈으로도 응원합니다 ^^",다양한 체험부스
체험 행사 및 먹거리가 좀 더 늘었으면 좋겠어요,"요약:
- 체험 행사 및 먹거리가 좀 더 늘었으면 좋겠어요",- 체험 행사 및 먹거리가 좀 더 늘었으면,먹거리 체험
체험부스가 더 많았으면 좋겠음.,- 체험부스가 더 많았으면 좋겠음.,- 체험부스 더 많았으면 좋겠음.,다양한 체험부스
체험부스가 더 있었으면 좋겠다.,- 체험부스가 더 있었으면 좋겠음.,- 체험부스 더 있었으면.,다양한 체험부스
"체험부스당 인원수가 매우 부족하다 느낌.
13시 30분에 왔는데도 2부(17:00) 이후부터 예약이 가능하다 하여 체험할 수 없어 아쉬웠음.","- 체험부스당 인원수가 매우 부족하다고 느낌.
- 13시 30분에 왔는데 2부(17:00) 이후부터 예약 가능하다고 해서 체험할 수 없어 아쉬웠음.",- 체험부스당 인원수가 매우 부족하다고 느낌; 13시 30분에 왔는데 2부(17:00) 이후부터 예약 가능하다고 해서 체험할 수 없어 아쉬웠음.,다양한 체험부스
체험부스를 더 크게 만들어 줬으면 합니다.,- 체험부스를 더 크게 만들어 줬으면 합니다.,- 체험부스를 더 크게,다양한 체험부스
체험프로그램의 다양성,- 체험프로그램의 다양성,- 다양성,다양한 체험부스
체험프로그램이 더 생겼으면 좋겠음,- 체험프로그램이 더 생겼으면 좋겠음,- 체험프로그램 더 생겼으면,다양한 체험부스
체험프로그램이 조금 더 다양하게 많았으면 좋겠어요,- 체험프로그램이 조금 더 다양하고 많았으면 좋겠음,- 체험프로그램이 더 다양하고 많았으면 좋겠음,다양한 체험부스
축제 홍보가 더 필요할 것 같다,- 축제 홍보가 더 필요하다고 생각함,- 축제 홍보가 더 필요하다고,먹거리 체험
"축제는 아이들이 즐길거리가 많아야 흥합니다.
컨셉이 애매해요. 응원함.
큰 투자는 많아보이는데 컨텐츠가 적어요.","요약:
- 축제는 아이들이 즐길거리가 많아야 흥합니다.
- 컨셉이 애매해요.
- 응원함.
- 큰 투자는 많아보이는데 컨텐츠가 적어요.","- 축제는 아이들이 즐길거리가 많아야 흥합니다, 컨셉이 애매해요, 큰 투자는 많아보이는데 컨텐츠가 적어요, 응원함",폐공장가족행사
"취지는 좋으나, 조금 더 발전이 필요해보임.","- 취지는 좋으나, 조금 더 발전이 필요해보임.",- 취지는 좋으나 발전이 필요해보임.,폐공장가족행사
커피 한 잔이 6000원 물가비교 테이크아웃금액이 비싸고 부스참여는 할 수 있는게 없이 예약이 끝났는데 고지도 안 되어있어 사람들이 서서 20명정도 계속 하는건가 물어보고 있어요,"요약:
- 커피 한 잔이 6000원이다.
- 테이크아웃 금액이 비싸다.
- 부스 참여는 할 수 있는 게 없다.
- 예약이 끝났는데 고지도 안 되어 있다.
- 사람들이 서서 20명 정도 계속 '하는 건가'라고 물어보고 있다.","- 커피 한 잔이 6000원이다, 테이크아웃 금액이 비싸다, 부스 참여는 할 수 있는 게 없다, 예약이 끝났는데 고지도 안 되어 있다, 사람들이 서서 20명 정도 계속 '하는 건가'라고 물어보고 있다.",폐공장가족행사
편안한 실내커피숍 필요,- 편안한 실내커피숍 필요,- 편안한 실내커피숍,폐공장가족행사
푸드 코너가 더 많았으면 좋겠음. 아주 다양하게,"- 푸드 코너가 더 많았으면 좋겠고, 아주 다양했으면 좋겠음.","- 푸드 코너가 더 많았으면, 아주 다양했으면 좋겠음.",먹거리 체험
"푸드코트의 다양성 및 질 개선, 참여 부스 확대","- 푸드코트의 다양성 및 질 개선
- 참여 부스 확대","- 푸드코트 다양성 및 질 개선, 참여 부스 확대",먹거리 체험
"푸드트럭, 음료 등 다양했으면 더 좋을 것 같고
간이화장실이 물부족이라서 아쉬웠지만 이정도면 전반적으로 훌륭한 행사여서 잘 즐기다 갑니다 ♥ 감사합니다!","요약:
- 푸드트럭, 음료 등 더 다양한 구성이 있었으면 좋겠다.
- 간이화장실이 물 부족이라 아쉬웠다.
- 전반적으로 훌륭한 행사여서 잘 즐겼고 감사하다.","요약 개조식:
- 푸드트럭, 음료 등 더 다양한 구성이 있었으면 좋겠다, 간이화장실이 물 부족이라 아쉬웠다, 전반적으로 훌륭한 행사여서 잘 즐겼고 감사하다.",먹거리 체험
"프로그램 다양성 추진! -> 사전예약 마감으로 인한 참여 불가…
주차 힘듬!","- 프로그램 다양성 추진
- 사전예약 마감으로 참여 불가
- 주차 힘듬","- 프로그램 다양성 추진, 사전예약 마감으로 참여 불가, 주차 힘듬",다양한 체험부스
"프로그램 다양화 및 활성화, 시간대별 프로그램 진행, 사전예약홍보","- 프로그램 다양화 및 활성화
- 시간대별 프로그램 진행
- 사전예약 홍보",- 프로그램 다양화·시간대별 진행·사전예약 홍보,다양한 체험부스
프로그램 이용시 1~2시간 뒤 오라고 해서 이용 잘못했어요.,- 프로그램 이용 시 1~2시간 뒤 오라고 해서 이용을 잘못했어요.,- 프로그램 이용 시 1~2시간 뒤 오라고 해서 잘못했어요.,다양한 체험부스
프로그램 자체는 많지만 많은 인원을 수용하지 못해서 이미 예약 마감 등 마감된 것들이 많아서 아쉬웠다.,- 프로그램은 많았으나 수용 인원 부족으로 이미 예약 마감된 것이 많아 아쉬웠다.,- 프로그램 많았으나 예약 마감된 것이 많아 아쉬웠다.,다양한 체험부스
프로그램의 다양성. 개발???,- 프로그램의 다양성. 개발???,- 프로그램의 다양성.,다양한 체험부스
프로그램이 더 다양했으면 좋겠다.,- 프로그램이 더 다양했으면 좋겠다.,- 프로그램 더 다양했으면,다양한 체험부스
"플리마켓인데 너무 적고 품목이 제한적…
미디어아트 실망…ㅠ 시민참여 작품이라도 더 다양하면 좋았을듯…","- 플리마켓이 너무 적고 품목이 제한적이었다.
- 미디어아트에 실망했다.
- 시민참여 작품이라도 더 다양했으면 좋았을 것 같다.","- 플리마켓이 너무 적고 품목이 제한적이었다, 미디어아트에 실망했다, 시민참여 작품이라도 더 다양했으면 좋았을 것 같다",먹거리 체험
홍보,- 홍보,- 홍보,먹거리 체험
홍보 필요함,"요약:
- 홍보 필요함",- 홍보,먹거리 체험
"홍보가 더 필요.
사전 안내가 더 자세히 안내 되었으면 합니다.","요약:
- 홍보가 더 필요.
- 사전 안내가 더 자세히 안내 되었으면 합니다.","- 홍보 더 필요, 사전 안내 더 자세히",먹거리 체험
"홍보가 많이 되지 않았던것 같아요.
어제 저녁 홈플 근처 인원이 많은 것을 보고
찾아온 뒤 행사가 있었다는 것을 알게 되어 오늘 찾아 왔어요!
의미 있는 행사로 매년 하면 아이와 함께 참석하고 싶어요!","- 홍보가 많이 되지 않았던 것 같아요.
- 어제 저녁 홈플 근처 인원이 많은 것을 보고 찾아온 뒤 행사가 있었다는 것을 알게 되어 오늘 찾아왔어요.
- 의미 있는 행사로 매년 하면 아이와 함께 참석하고 싶어요.","- 홍보가 많이 되지 않았던 것 같아요, 오늘 찾아왔어요, 의미 있는 행사로 매년 하면 아이와 함께 참석하고 싶어요",다양한 체험부스
홍보를 더 많이 했으면 좋겠다.,"요약:
- 홍보를 더 많이 했으면 좋겠다.",- 홍보를 더 많이 했으면 좋겠다.,먹거리 체험
"홍보를 조금 더 적극적으로 하면 많은 사람들이 알 수 있을 것 같다.
행사 시간을 오전에도 진행하였으면 좋겠다.","- 홍보를 조금 더 적극적으로 하면 많은 사람들이 알 수 있을 것 같다.
- 행사 시간을 오전에도 진행하였으면 좋겠다.","- 홍보를 조금 더 적극적으로 하면 많은 사람들이 알 수 있을 것 같다, 행사 시간을 오전에도 진행하였으면 좋겠다.",다양한 체험부스
"화장실 더 필요합니다.
우천에 대비해 이동구간 도로 포장이 필요합니다.","요약:
- 화장실 더 필요합니다.
- 우천에 대비해 이동구간 도로 포장이 필요합니다.","- 화장실 더, 우천에 대비해 이동구간 도로 포장이 필요합니다.",폐공장가족행사
화장실 청결도,- 화장실 청결도,- 청결도,폐공장가족행사
휴게공간 (좌석)이 좀 더 생기면 좋겠습니다.,"요약:
- 휴게공간(좌석)이 좀 더 생기면 좋겠습니다.",- 휴게공간(좌석)이 좀 더 생기면,폐공장가족행사
"흙바닥이여서 비가 와서 신발이 더러워짐.
행사 부스 규모가 작아서 줄을 많이 기다려야했음.","- 흙바닥이어서 비가 와서 신발이 더러워짐.
- 행사 부스 규모가 작아서 줄을 많이 기다려야 했음.","- 흙바닥이어서 비가 와서 신발이 더러워짐, 행사 부스 규모가 작아서 줄을 많이 기다려야 했음.",폐공장가족행사
"흡연부스가 따로 없는건진 모르지만 아이들과 행사장 참여했는데
 냄새 등 때문에 좋지 않았어요.","- 흡연부스가 따로 있는 건지 모르겠음.  
- 아이들과 함께 행사장에 참여했음.  
- 냄새 때문에 좋지 않았음.","- 흡연부스가 따로 있는 건지 모르겠음, 아이들과 함께 행사장에 참여했음, 냄새 때문에 좋지 않았음",폐공장가족행사
